Talk_ID,Speaker,Topic,Source_Url,Video_Description,Staged_At,Video_Duration,Date_Created(mm/yyyy),Publised_On,Total_Views
436,David Carson,Design and discovery,http://www.ted.com/talks/view/id/436,Great design is a never-ending journey of discovery -- for which it helps to pack a healthy sense of humor. Sociologist and surfer-turned-designer David Carson walks through a gorgeous (and often quite funny) slide deck of his work and found images.,TED2003,0:22:39,2/2003,1/19/09,13.54086448
1359,Lucien Engelen,Crowdsource your health,http://www.ted.com/talks/view/id/1359,"You can use your smartphone to find a local ATM, but what if you need a defibrillator? Lucien Engelen shows us online innovations that are changing the way we save lives, including a crowdsourced map of local defibrillators.",TEDxMaastricht,0:06:12,4/2011,2/15/12,12.56581488
39,Aubrey de Grey,A roadmap to end aging,http://www.ted.com/talks/view/id/39,"Cambridge researcher Aubrey de Grey argues that aging is merely a disease -- and a curable one at that. Humans age in seven basic ways, he says, all of which can be averted.",TEDGlobal 2005,0:22:45,7/2005,10/2/06,14.97961373
1144,Amit Sood,Building a museum of museums on the web,http://www.ted.com/talks/view/id/1144,"Imagine being able to see artwork in the greatest museums around the world without leaving your chair. Driven by his passion for art, Amit Sood tells the story of how he developed Art Project to let people do just that.",TED2011,0:05:35,3/2011,5/12/11,13.30511318
837,Tom Wujec,"Build a tower, build a team",http://www.ted.com/talks/view/id/837,"Tom Wujec presents some surprisingly deep research into the ""marshmallow problem"" -- a simple team-building exercise that involves dry spaghetti, one yard of tape and a marshmallow. Who can build the tallest tower with these ingredients? And why does a surprising group always beat the average?",TED2010,0:06:51,2/2010,4/22/10,15.11893894
2400,Wael Ghonim,Let's design social media that drives real change,http://www.ted.com/talks/view/id/2400,"Wael Ghonim helped touch off the Arab Spring in his home of Egypt ... by setting up a simple Facebook page. As he reveals, once the revolution spilled onto the streets, it turned from hopeful to messy, then ugly and heartbreaking. And social media followed suit. What was once a place for crowdsourcing, engaging and sharing became a polarized battleground. Ghonim asks: What can we do about online behavior now? How can we use the Internet and social media to create civility and reasoned argument?",TEDGlobal>Geneva,0:13:34,12/2015,1/13/16,14.05454557
1622,Paolo Cardini,"Forget multitasking, try monotasking",http://www.ted.com/talks/view/id/1622,"People don't just cook anymore -- they're cooking, texting, talking on the phone, watching YouTube and uploading photos of the awesome meal they just made. Designer Paolo Cardini questions the efficiency of our multitasking world and makes the case for -- gasp -- ""monotasking.""",TEDGlobal 2012,0:02:52,6/2012,11/30/12,14.63861525
1874,Greg Asner,Ecology from the air,http://www.ted.com/talks/view/id/1874,"What are our forests really made of? From the air, ecologist Greg Asner uses a spectrometer and high-powered lasers to map nature in meticulous kaleidoscopic 3D detail -- what he calls ""a very high-tech accounting system"" of carbon. In this fascinating talk, Asner gives a clear message: To save our ecosystems, we need more data, gathered in new ways.",TEDGlobal 2013,0:13:50,6/2013,11/19/13,13.42954803
788,Tim Berners-Lee,The year open data went worldwide,http://www.ted.com/talks/view/id/788,"At TED2009, Tim Berners-Lee called for ""raw data now"" -- for governments, scientists and institutions to make their data openly available on the web. At TED University in 2010, he shows a few of the interesting results when the data gets linked up.",TED2010,0:05:33,2/2010,3/8/10,13.42293305
1945,Carin Bondar,The birds and the bees are just the beginning,http://www.ted.com/talks/view/id/1945,"Think you know a thing or two about sex? Think again. In this fascinating talk, biologist Carin Bondar lays out the surprising science behind how animals get it on. (This talk describes explicit and aggressive sexual content.)",TEDGlobal 2013,0:09:47,6/2013,3/14/14,14.67115832
